ID_name	MetaPopulation	Population	color	reg.shape	size	fill
I9005	Minoan_Lasithi	Minoan_Lasithi	black	24	1.4	#0073e6
I9127	Minoan_Odigitria	Minoan_Odigitria	black	24	1.4	#0073e6
I9128	Minoan_Odigitria	Minoan_Odigitria	black	24	1.4	#0073e6
I9129	Minoan_Odigitria	Minoan_Odigitria	black	24	1.4	#0073e6
I9130	Minoan_Odigitria	Minoan_Odigitria	black	24	1.4	#0073e6
I9131	Minoan_Odigitria	Minoan_Odigitria	black	24	1.4	#0073e6
I9006	Mycenaean	Mycenaean	black	24	1.4	#0073e6
I9010	Mycenaean	Mycenaean	black	24	1.4	#0073e6
I9033	Mycenaean	Mycenaean	black	24	1.4	#0073e6
I9041	Mycenaean	Mycenaean	black	24	1.4	#0073e6
I0861	Natufian	Natufian	black	21	1.4	#349e63
I1069	Natufian	Natufian	black	21	1.4	#349e63
I1072	Natufian	Natufian	black	21	1.4	#349e63
I1685	Natufian	Natufian	black	21	1.4	#349e63
I1687	Natufian	Natufian	black	21	1.4	#349e63
I1690	Natufian	Natufian	black	21	1.4	#349e63
Ash002	Anatolia_Aşıklı	Ash002	#946ec6	22	1.4	#00e6e6
Ash033	Anatolia_Aşıklı	Ash033	#946ec6	22	1.4	#00e6e6
Ash040	Anatolia_Aşıklı	Ash040	#946ec6	22	1.4	#00e6e6
Ash128	Anatolia_Aşıklı	Ash128	#946ec6	22	1.4	#00e6e6
Ash129	Anatolia_Aşıklı	Ash129	#946ec6	22	1.4	#00e6e6
Ash131	Anatolia_Aşıklı	Ash131	#946ec6	22	1.4	#00e6e6
Ash133	Anatolia_Aşıklı	Ash133	#946ec6	22	1.4	#00e6e6
Ash136	Anatolia_Aşıklı	Ash136	#946ec6	22	1.4	#00e6e6
I0707	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I0708	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I0709	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I0736	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I0744	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I0745	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I0746	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1096	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1097	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1098	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1099	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1100	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1101	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1102	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1103	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1580	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1581	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
I1583	Anatolia_Barcın	Barcin	#76a44a	22	1.4	#00e6e6
Bar31	Anatolia_Barcın	Barcin.SG	#76a44a	22	1.4	#00e6e6
Bar8	Anatolia_Barcın	Barcin.SG	#76a44a	22	1.4	#00e6e6
I1584	Anatolia_Barcın_Chl	Barcin_Chl	black	23	1.4	#00e6e6
I1579	Anatolia_Barcın_Chl	Barcin_N_Chl	black	23	1.4	#00e6e6
I1585	Anatolia_Barcın_Chl	Barcin_N_Chl	black	23	1.4	#00e6e6
Bon001	Anatolia_Boncuklu	Boncuklu	#ca5477	22	1.4	#00e6e6
Bon002	Anatolia_Boncuklu	Boncuklu	#ca5477	22	1.4	#00e6e6
Bon004	Anatolia_Boncuklu	Boncuklu	#ca5477	22	1.4	#00e6e6
Bon005	Anatolia_Boncuklu	Boncuklu	#ca5477	22	1.4	#00e6e6
Bon009	Anatolia_Boncuklu	Boncuklu	#ca5477	22	1.4	#00e6e6
ZHAG_BON004	Anatolia_Boncuklu	Boncuklu_capture	#ca5477	22	1.4	#00e6e6
ZHAJ_BON034	Anatolia_Boncuklu	Boncuklu_capture	#ca5477	22	1.4	#00e6e6
ZHJ_BON024	Anatolia_Boncuklu	Boncuklu_capture	#ca5477	22	1.4	#00e6e6
ZKO_BON001	Anatolia_Boncuklu	Boncuklu_capture	#ca5477	22	1.4	#00e6e6
ZMOJ_BON014	Anatolia_Boncuklu	Boncuklu_capture	#ca5477	22	1.4	#00e6e6
cch144	Anatolia_Çatalhöyük	cch144	#3fadaf	22	1.4	#00e6e6
cch163	Anatolia_Çatalhöyük	cch163	#3fadaf	22	1.4	#00e6e6
cch285	Anatolia_Çatalhöyük	cch285	#3fadaf	22	1.4	#00e6e6
cch289	Anatolia_Çatalhöyük	cch289	#3fadaf	22	1.4	#00e6e6
cch290	Anatolia_Çatalhöyük	cch290	#3fadaf	22	1.4	#00e6e6
cch294	Anatolia_Çatalhöyük	cch294	#3fadaf	22	1.4	#00e6e6
cch311	Anatolia_Çatalhöyük	cch311	#3fadaf	22	1.4	#00e6e6
cth006	Anatolia_Çatalhöyük	cth006	#3fadaf	22	1.4	#00e6e6
cth217	Anatolia_Çatalhöyük	cth217	#3fadaf	22	1.4	#00e6e6
cth728	Anatolia_Çatalhöyük	cth728	#3fadaf	22	1.4	#00e6e6
cth739	Anatolia_Çatalhöyük	cth739	#3fadaf	22	1.4	#00e6e6
cth747	Anatolia_Çatalhöyük	cth747	#3fadaf	22	1.4	#00e6e6
cth842	Anatolia_Çatalhöyük	cth842	#3fadaf	22	1.4	#00e6e6
pch034	Anatolia_Çatalhöyük	pch034	#3fadaf	22	1.4	#00e6e6
I2495	Anatolia_Harmanoren_BA	Harmanoren_BA	black	24	1.4	#00e6e6
I2499	Anatolia_Harmanoren_BA	Harmanoren_BA	black	24	1.4	#00e6e6
I2683	Anatolia_Harmanoren_BA	Harmanoren_BA	black	24	1.4	#00e6e6
MA2205	Anatolia_Kalehoyuk_AssyrianIIIc	Kalehoyuk_AssyrianIIIc	black	25	1.4	#00e6e6
MA2206	Anatolia_Kalehoyuk_AssyrianIIIc	Kalehoyuk_AssyrianIIIc	black	25	1.4	#00e6e6
MA2208	Anatolia_Kalehoyuk_AssyrianIIIc	Kalehoyuk_AssyrianIIIc	black	25	1.4	#00e6e6
MA2197	Anatolia_Kalehoyuk_Hellenistic	Kalehoyuk_Hellenistic	black	25	1.4	#00e6e6
MA2198	Anatolia_Kalehoyuk_Hellenistic	Kalehoyuk_Hellenistic	black	25	1.4	#00e6e6
MA2200	Anatolia_Kalehoyuk_OldHittite	Kalehoyuk_OldHittite	black	24	1.4	#00e6e6
MA2203	Anatolia_Kalehoyuk_OldHittite	Kalehoyuk_OldHittite	black	24	1.4	#00e6e6
MA2195	Anatolia_Kalehoyuk_Ottoman	Kalehoyuk_Ottoman	#00e6e6	8	1.4	#00e6e6
MA2196	Anatolia_Kalehoyuk_Ottoman	Kalehoyuk_Ottoman_la	#00e6e6	1	1.4	#00e6e6
Kumtepe006	Anatolia_Kumtepe	Kumtepe006	black	23	1.4	#00e6e6
MA2212	Anatolia_Ovaoren_EBAII	Ovaoren_EBAII	black	24	1.4	#00e6e6
MA2213	Anatolia_Ovaoren_EBAII	Ovaoren_EBAII	black	24	1.4	#00e6e6
ZBC_IPB001	Anatolia_Pınarbaşı	Pinarbasi	black	21	1.4	#00e6e6
Tep002	Anatolia_Tepecik-Çiftlik	Tepecik_Ciftlik	#c57b3d	22	1.4	#00e6e6
Tep003	Anatolia_Tepecik-Çiftlik	Tepecik_Ciftlik	#c57b3d	22	1.4	#00e6e6
Tep004	Anatolia_Tepecik-Çiftlik	Tepecik_Ciftlik	#c57b3d	22	1.4	#00e6e6
Tep006	Anatolia_Tepecik-Çiftlik	Tepecik_Ciftlik	#c57b3d	22	1.4	#00e6e6
CAY004_merged	Cayonu	CAY004	#a979bf	19	2	#3cdc65
CAY007_merged	Cayonu	CAY007	#7bb743	19	2	#a62bb3
CAY008_merged	Cayonu	CAY008	#7363ce	19	2	#c3ce4b
cay011_merged	Cayonu	cay011	#d49e45	19	2	#449bff
cay012_merged	Cayonu	cay012	#c655ba	19	2	#ecc228
cay013_merged	Cayonu	cay013	#60bb81	19	2	#e597ff
cay014_merged	Cayonu	cay014	#da3e75	19	2	#186013
cay015_merged	Cayonu	cay015	#3fbcc1	19	2	#ab006f
cay016_merged	Cayonu	cay016	#c75a37	19	2	#736900
cay018_merged	Cayonu	cay018	#5a8acb	19	2	#ff94b6
cay020_merged	Cayonu	cay020	#8e833c	19	2	#bf7400
cay022_merged	Cayonu	cay022	#a2465f	19	2	#eb303d
cay027_merged	Cayonu	cay027	#427b3f	19	2	#f6b998
cay033_merged	Cayonu	cay033	#e08194	19	2	#ffa999
CAY004	Cayonu	CAY004	#a979bf	19	2	#3cdc65
cay007	Cayonu	CAY007	#7bb743	19	2	#a62bb3
CAY008	Cayonu	CAY008	#7363ce	19	2	#c3ce4b
cay011	Cayonu	cay011	#d49e45	19	2	#449bff
cay012	Cayonu	cay012	#c655ba	19	2	#ecc228
cay013	Cayonu	cay013	#60bb81	19	2	#e597ff
cay014	Cayonu	cay014	#da3e75	19	2	#186013
cay015	Cayonu	cay015	#3fbcc1	19	2	#ab006f
cay016	Cayonu	cay016	#c75a37	19	2	#736900
cay018	Cayonu	cay018	#5a8acb	19	2	#ff94b6
cay020	Cayonu	cay020	#8e833c	19	2	#bf7400
cay022	Cayonu	cay022	#a2465f	19	2	#eb303d
cay027	Cayonu	cay027	#427b3f	19	2	#f6b998
cay033	Cayonu	cay033	#e08194	19	2	#ffa999
cay1820	Cayonu	cay018	#5a8acb	19	2	#ff94b6
MTT001	Caucasus_LN	Caucasus_LN	black	22	1.4	#ee82b8
POT002	Caucasus_LN	Caucasus_LN	black	22	1.4	#ee82b8
